sip_method,count
REGISTER,282152
INVITE,238817
ACK,5827
OPTIONS,787
,99
REFER,91
CANCEL,28
SUBSCRIBE,20
NOTIFY,19
PUBLISH,16
PRACK,14
INFO,12
BYE,9
MESSAGE,8
UPDATE,8
