asn,asn_org,events,unique_ips,honeypots,pct_of_total
149968.0,Diskominfo Kabupaten Humbang Hasundutan,6,1,2,0.0
38732.0,CMC Telecom Infrastructure Company,6,1,2,0.0
38623.0,ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.,6,2,1,0.0
219064.0,Akenai Products LTD,6,1,1,0.0
8595.0,OOO WestCall Ltd.,6,1,2,0.0
262731.0,CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTD,6,1,2,0.0
219474.0,GravHosting LLC,6,1,1,0.0
28220.0,Alares Cabo Servicos de Telecomunicacoes S.A.,6,3,1,0.0
37492.0,Orange Tunisie,6,1,1,0.0
37002.0,Reunicable SAS,6,2,1,0.0
206260.0,Svorka AS,6,1,1,0.0
206206.0,Kurdistan Net Company for Computer and Internet Ltd.,6,2,2,0.0
204914.0,LABIXE LTD,6,1,1,0.0
205100.0,F3 Netze e.V.,6,3,1,0.0
28599.0,Italnet Telecomunicacoes Ltda,6,1,2,0.0
266092.0,R. COSTA DO NASCIMENTO,6,1,2,0.0
52180.0,Nikolay Victorovich Kucheruk PE,6,1,1,0.0
266668.0,OBERCOM S.R.L.,6,2,1,0.0
203214.0,Hulum Almustakbal Company for Communication Engineering and Services Ltd,6,1,1,0.0
50648.0,PE UAinet,6,3,1,0.0
131293.0,TOT Public Company Limited,6,1,2,0.0
142558.0,Binary Matrix BD,6,1,1,0.0
61470.0,MUSURIT,6,1,1,0.0
22423.0,Altima Telecom,6,1,1,0.0
21949.0,Beanfield Technologies Inc.,6,1,2,0.0
61820.0,Ipunet Telecomunicacoes Ltda,6,1,2,0.0
56851.0,PE Skurykhin Mukola Volodumurovuch,6,1,2,0.0
271676.0,ACESSE WIFI,6,1,1,0.0
57269.0,Digi Spain Telecom S.A,6,2,1,0.0
9269.0,Hong Kong Broadband Network Ltd.,6,4,1,0.0
269729.0,GRUPO MULTICABLES DE CORTES S.R.L de C.V,6,1,1,0.0
11556.0,Cable & Wireless Panama,5,2,2,0.0
4382.0,PT. Indonusa System Integrator Prima,5,2,2,0.0
219399.0,servinga GmbH,5,1,1,0.0
57043.0,Hostkey B.v.,5,1,2,0.0
262322.0,MMER Provedor de Internet Ltda - ME,5,1,2,0.0
4809.0,China Telecom Next Generation Carrier Network,5,2,2,0.0
6167.0,Verizon Business,5,3,2,0.0
51995.0,Toroptsev Igor,5,1,2,0.0
28840.0,Pjsc tattelecom,5,2,1,0.0
204957.0,Route 95 LLC,5,1,2,0.0
64306.0,PEMERINTAH KABUPATEN TEMANGGUNG,5,1,2,0.0
26269.0,Haefele Connect,5,1,1,0.0
213194.0,Nechaev Dmitry Sergeevich,5,1,2,0.0
216030.0,GoodLeaf Hosting & Development LLC,5,1,2,0.0
23158.0,"ETEX COMMUNICATIONS, LLC",5,1,1,0.0
272524.0,CONECTHOST DATACENTER,5,1,1,0.0
272112.0,"TELECABLE DOMINICANO, S.A.",5,1,1,0.0
57487.0,Advanced Solutions LLC,5,1,1,0.0
9506.0,Singtel Fibre Broadband,5,2,2,0.0
150462.0,PT Air Lintas Komunikasi,5,2,1,0.0
6057.0,Administracion Nacional de Telecomunicaciones,5,3,2,0.0
9287.0,True Internet Data Center Company Limited,5,1,1,0.0
45243.0,F/X Wireless Technology Solutions Pvt. Ltd.,5,1,1,0.0
50662.0,PP Scientific-industrial enterprise 'Leokom',4,2,1,0.0
270099.0,INTERNET CORDOBA S.A.S,4,1,1,0.0
268016.0,ZN DIGITAL PALOTINA LTDA ME,4,1,1,0.0
270088.0,GUAJIRANET ISP S.A.S.,4,2,1,0.0
62327.0,Yuriichuk Vatalii,4,2,1,0.0
50401.0,Lantrace LLC,4,2,1,0.0
131429.0,MOBIFONE Corporation,4,1,1,0.0
17638.0,ASN for TIANJIN Provincial Net of CT,4,4,1,0.0
262231.0,COOP. ELECTRICA Y DE SERVICIOS MARIANO MORENO LTDA.,4,1,1,0.0
61914.0,Roberto Keller - ME,4,1,1,0.0
56701.0,LLC avanta Telecom,4,2,1,0.0
56465.0,Therecom Ltd,4,2,1,0.0
25543.0,"ONATEL (Office National des Telecommunications, PTT)",4,1,1,0.0
24955.0,JSC Ufanet,4,2,1,0.0
24961.0,WIIT AG,4,3,1,0.0
209281.0,"Generacion Tecnologica De Comunicaciones, Sociedad Limitada.",4,1,1,0.0
209207.0,Digital Hosting Provider LLC,4,1,1,0.0
28458.0,IENTC S DE RL DE CV,4,1,1,0.0
28201.0,Companhia Itabirana Telecomunicacoes Ltda,4,1,1,0.0
24651.0,Jsc Balticom,4,2,1,0.0
27380.0,NYSS,4,1,1,0.0
28555.0,Cablemas Telecomunicaciones SA de CV,4,2,1,0.0
211621.0,West-TV LLC,4,2,1,0.0
213954.0,Global Transit Systems LLC,4,1,1,0.0
18081.0,"Kintetsu Cable Network Co., Ltd.",4,1,1,0.0
204875.0,Istec Ukraine LLC,4,1,1,0.0
207558.0,Sergey Kus,4,2,1,0.0
131275.0,Logon Broadband Pvt. Limited,4,1,1,0.0
64107.0,RACK SPHERE HOSTING S.A.,4,1,2,0.0
28146.0,MHNET TELECOM,4,2,2,0.0
30036.0,Mediacom Communications Corp,4,1,1,0.0
206257.0,LLC Lana-it,4,2,1,0.0
30779.0,TRK Cable TV LLC,4,1,1,0.0
34757.0,Sibirskie Seti Ltd.,4,1,1,0.0
197672.0,"P.P.U.H. INTERPLUS M.Mrozek, R.Wozniak Sp. J.",4,1,1,0.0
199276.0,Tele.Co.Albania SHPK,4,2,1,0.0
31593.0,TV Company Black Sea Ltd,4,2,1,0.0
200475.0,Et Veselin Jelqzkov,4,1,1,0.0
203451.0,K-telekom LLC,4,2,1,0.0
28093.0,Cooperativa de Electricidad y Servicios Publicos de Arroyito Ltda,4,1,1,0.0
200773.0,Informatica Fuentealbilla S.l.,4,1,1,0.0
263196.0,Infosport SA,4,1,1,0.0
262932.0,COMPANIA DE CIRCUITOS CERRADOS S.A.,4,1,1,0.0
34369.0,Aria Shatel PJSC,4,1,1,0.0
262417.0,UltraTelecom Provedora de Internet,4,1,1,0.0
154408.0,URLSTART,4,1,2,0.0
36992.0,ETISALAT MISR,4,3,2,0.0
263717.0,SOL TELECOMUNICACIONES S.A.,4,1,1,0.0
35815.0,LLC Cifrovie Seti Urala,4,1,1,0.0
197522.0,Kaluska informatsiyna merezha LLC,4,1,1,0.0
41123.0,Gorodskie Telekommunikatsionnye Sistemy LLC,4,1,1,0.0
28773.0,Global Technologies of Ukraine LLC,4,2,1,0.0
53006.0,ALGAR TELECOM S/A,4,2,1,0.0
19863.0,Guyana Telephone & Telegraph Co.,4,2,1,0.0
21826.0,Corporacion Telemic C.A.,4,2,1,0.0
21928.0,"T-Mobile USA, Inc.",4,2,1,0.0
21497.0,PrJSC VF UKRAINE,4,2,1,0.0
49816.0,MTS PJSC,4,1,1,0.0
135325.0,EWS DS Networks Inc,4,2,1,0.0
39232.0,Uninet LLC,4,2,1,0.0
39065.0,Southern Telecommunication Company Ltd.,4,1,1,0.0
37153.0,Xneelo (Pty) Ltd,4,2,1,0.0
37061.0,Safaricom Limited,4,3,2,0.0
47165.0,Omskie kabelnye seti Ltd.,4,1,1,0.0
47331.0,Turk Telekom,4,1,1,0.0
8580.0,MTS PJSC,4,2,1,0.0
8870.0,Overseas Technologies LLC,4,1,1,0.0
9119.0,SOFTNET d.o.o.,4,1,1,0.0
9123.0,Jsc timeweb,4,2,1,0.0
37577.0,Orange Burkina Faso,4,2,1,0.0
40786.0,Digicel Jamaica,4,1,1,0.0
40788.0,Start Communications,4,2,1,0.0
136093.0,PT Mitra Lintas Multimedia,4,1,1,0.0
141959.0,PT Arta Flash Sintesa Nusantara,4,1,1,0.0
146817.0,"Hubei Feixun Network Co., Ltd",4,2,1,0.0
44533.0,Davydov Vladimir Dmitrievich,4,1,1,0.0
146943.0,Tier 4 Cloud Services,4,1,2,0.0
44837.0,"ELS Telecom, LTD",4,1,1,0.0
43754.0,Asiatech Data Transmission company,4,1,1,0.0
43764.0,LLC Electron-sevlush,4,2,1,0.0
139813.0,Smart Online,4,2,1,0.0
48642.0,Joint stock company For,4,2,1,0.0
48832.0,Jordanian mobile phone services Ltd,4,2,1,0.0
139994.0,PT XL Axiata Tbk,4,2,1,0.0
140219.0,Sara Networking System,4,1,1,0.0
264100.0,RIO CABLE TELECOM LTDA,4,2,1,0.0
265582.0,Wifmax S.A de C.V.,4,1,2,0.0
42772.0,Unitary enterprise A1,4,2,1,0.0
150750.0,IN CABLE INTERNET (PRIVATE) LIMITED,4,1,1,0.0
137535.0,JT TELECOM INTERNATIONAL PTE.LTD.,4,1,2,0.0
136873.0,MEGADATA-ISP,4,1,1,0.0
7738.0,V tal,4,2,1,0.0
6821.0,Makedonski Telekom AD-Skopje,4,2,1,0.0
11976.0,Fidelity Communication International Inc.,4,1,1,0.0
13585.0,Power VT S.A.,4,1,1,0.0
15377.0,Traditional LLC,4,2,1,0.0
13693.0,Vexus Fiber,4,1,1,0.0
270814.0,ZAAZ PROVEDOR DE INTERNET E TELECOMUNICACOES LTDA,4,2,1,0.0
269778.0,FE-NET REDES INHALAMBRICAS S.R.L,4,1,1,0.0
269804.0,SEPCOM COMUNICACIONES SAS,4,1,1,0.0
269814.0,PROLUX COMSER S.A.,4,1,1,0.0
20485.0,Joint Stock Company TransTeleCom,4,1,1,0.0
266710.0,Gimenez Pedro Santiago (Clorindaconectada),4,1,1,0.0
266806.0,DIAZ MARCELA ALEJANDRA(PATAGONIA DIGITAL),4,1,1,0.0
265728.0,FLYNET SRL,4,1,1,0.0
16700.0,CNSNext,4,1,1,0.0
16010.0,Magticom Ltd.,4,2,1,0.0
20776.0,Outremer Telecom SAS,4,2,1,0.0
62336.0,PURtel.com GmbH,4,4,1,0.0
52716.0,Viaband Telecomunicacao Ltda,4,1,1,0.0
329084.0,Global Platinum Solutions (Pty) Ltd,4,1,1,0.0
52571.0,G2G COM PROD ELETRO E SERV LTDA,4,2,1,0.0
52473.0,Cooperativa Telefonica de Abasto,4,1,1,0.0
395839.0,HOSTKEY,4,1,1,0.0
329678.0,High Speed Access Company for Telecommunication and Technology,4,1,1,0.0
58965.0,ANJANI BROADBAND SOLUTIONS PVT.LTD.,4,1,1,0.0
60246.0,Consumer Internet Cooperative PG-19,4,2,1,0.0
4760.0,HKT Limited,4,2,1,0.0
58325.0,Hydra Communications Ltd,4,3,1,0.0
272026.0,HERNAN GALEANO KIM (HERKIM - SOLUCIONES TECNOLOGICAS),4,1,1,0.0
1680.0,Cellcom Fixed Line Communication L.P,4,2,1,0.0
45582.0,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",3,1,1,0.0
212220.0,Kepler Technologies AB,3,1,1,0.0
136617.0,Fortune Telecom Company Limited,3,1,1,0.0
213896.0,UAB Cherry Servers,3,2,2,0.0
28618.0,Linktel Telecom do Brasil Ltda,3,1,1,0.0
28613.0,HUGHES TELECOMUNICACOES DO BRASIL LTDA.,3,1,2,0.0
7377.0,"University of California, San Diego",3,1,1,0.0
15808.0,IDDQD-AS,3,2,2,0.0
6713.0,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,3,2,1,0.0
20057.0,"AT&T Enterprises, LLC",3,1,2,0.0
7488.0,CNServer LLC,3,2,1,0.0
9304.0,HGC Global Communications Limited,3,1,1,0.0
270161.0,"Television Internacional, S.A. de C.V.",3,1,2,0.0
267636.0,VIACONNECT PROVEDOR DE INTERNET BANDA LARGA LTDAME,3,1,2,0.0
31376.0,Smart Telecom Limited,3,1,1,0.0
14574.0,RTC Communications,3,1,2,0.0
6866.0,Cyprus Telecommunications Authority,3,1,1,0.0
133933.0,NetSat Private Limited,3,1,1,0.0
12997.0,OJSC Kyrgyztelecom,3,2,2,0.0
42337.0,Respina Networks & Beyond PJSC,3,2,2,0.0
265210.0,OSCAR M DE CARVALHO - ME,3,2,1,0.0
41754.0,JSC ER-Telecom Holding,3,2,2,0.0
8814.0,Aztelekom LLC,3,2,2,0.0
9051.0,IncoNet Data Management sal,3,2,2,0.0
19108.0,Optimum,3,2,2,0.0
142271.0,EWS DS Networks Inc,3,1,2,0.0
52977.0,Sul Online Telecom Ltda - EPP,3,1,1,0.0
41075.0,ATW Internet Kft.,3,1,1,0.0
150279.0,PT Lintas Network Solusi,3,1,1,0.0
53755.0,Input Output Flood LLC,3,1,1,0.0
26077.0,Nextlink Broadband,3,2,1,0.0
131269.0,"Atria Convergence Technologies Ltd.,",3,3,1,0.0
64236.0,"UnReal Servers, LLC",3,1,1,0.0
142539.0,Shunkhlai Group,3,1,2,0.0
32098.0,Transtelco Inc,3,2,1,0.0
8400.0,TELEKOM SRBIJA a.d.,3,2,2,0.0
58541.0,"Qingdao,266000",3,1,2,0.0
15895.0,Kyivstar PJSC,3,2,2,0.0
34139.0,JSC DIVO,3,1,1,0.0
22884.0,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V.",3,2,2,0.0
35104.0,Jusan Mobile JSC,3,2,2,0.0
36925.0,MEDITELECOM,3,2,2,0.0
61254.0,ESTOXY OU,3,1,1,0.0
200651.0,FlokiNET ehf,3,1,1,0.0
202422.0,G-Core Labs S.A.,3,2,2,0.0
23764.0,CTGNet,3,1,1,0.0
3816.0,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,3,2,2,0.0
52871.0,TASCOM TELECOMUNICACOES LTDA,2,1,1,0.0
29256.0,Syrian Telecommunication Private Closed Joint Stock Company,2,1,1,0.0
34661.0,TOV TRK Briz,2,1,1,0.0
55293.0,"A2 Hosting, Inc.",2,1,1,0.0
49732.0,Joint Stock Company Tyvasviazinform,2,1,1,0.0
55286.0,B2 Net Solutions Inc.,2,2,1,0.0
34718.0,ist Telekom Jv LLC,2,1,1,0.0
53184.0,VERO S.A,2,1,1,0.0
197868.0,LLC Service Telecom,2,1,1,0.0
133551.0,OriginNet,2,1,1,0.0
133662.0,SHREENET,2,1,1,0.0
31725.0,ISP Shtorm LTD,2,1,1,0.0
29238.0,Nisatel LTD,2,1,1,0.0
53196.0,NETSTAR SOLUCOES LTDA,2,1,1,0.0
49453.0,Global Layer B.V.,2,2,1,0.0
29314.0,Vectra S.A.,2,1,1,0.0
49332.0,Lanet Network Ltd,2,1,1,0.0
49223.0,Everest Tv And Radio Company LLC,2,1,1,0.0
134763.0,CHINANET Guangdong province network,2,1,1,0.0
53182.0,lazernet.com.br ltda me,2,1,1,0.0
53118.0,NETLINE TELECOM,2,1,1,0.0
34534.0,Fbw Networks SAS,2,1,1,0.0
197960.0,Limited Liability Company internet Service Provider mega,2,1,1,0.0
199058.0,Serva One Ltd,2,1,1,0.0
199820.0,PE Dyatlov Sergey Vladimirovich,2,1,1,0.0
64123.0,DODOLINK INTERNACIONAL SRL,2,1,1,0.0
53062.0,GGNET TELECOMUNICACOES LTDA,2,1,1,0.0
29278.0,Rackhost Zrt.,2,1,1,0.0
53051.0,Com NT TELECOM LTDA - ME,2,1,1,0.0
34343.0,Eweka Internet Services B.V.,2,1,1,0.0
53108.0,UFINET BRASIL S.A.,2,1,1,0.0
206926.0,Letit LLC,2,1,1,0.0
28142.0,DIGITAL DESIGN SERVICOS DE TELECOMUNICACOES EIRELI,2,1,1,0.0
31133.0,PJSC MegaFon,2,1,1,0.0
31012.0,A1 Hrvatska d.o.o.,2,1,1,0.0
30886.0,PP KOM i TEX,2,1,1,0.0
30633.0,"Leaseweb USA, Inc.",2,1,1,0.0
29571.0,Orange Côte d'Ivoire,2,1,1,0.0
34056.0,Kyiv Optic Networks ltd,2,1,1,0.0
201147.0,Abdurakhmanov Magomed Zikrulaevich,2,1,1,0.0
200702.0,Kazakov Viktor Aleksandrovich,2,1,1,0.0
31257.0,Orion Telecom LLC,2,1,1,0.0
31252.0,StarNet Solutii SRL,2,1,1,0.0
31213.0,PJSC MegaFon,2,1,1,0.0
204144.0,Comfort XXI Century Ltd.,2,1,1,0.0
203861.0,Miteflux Technologies Ltd,2,1,1,0.0
202468.0,Noyan Abr Arvan Co. ( Private Joint Stock),2,2,1,0.0
201550.0,Syrian Telecommunication Private Closed Joint Stock Company,2,1,1,0.0
28658.0,Gigalink de Nova Friburgo Solucoes em Rede Multimi,2,1,1,0.0
33763.0,Paratus Telecommunications Limited,2,1,1,0.0
28656.0,BTT TELECOMUNICACOES S.A.,2,1,1,0.0
28634.0,Life Tecnologia Ltda.,2,1,1,0.0
34296.0,Millenicom Telekomunikasyon Hizmetleri Anonim Sirketi,2,1,1,0.0
204170.0,Awaser Oman LLC,2,1,1,0.0
205960.0,Hdtidc Limited,2,1,1,0.0
204288.0,Ltd itlux,2,1,1,0.0
207506.0,newnet LLC,2,1,1,0.0
205127.0,PP Euronet,2,1,1,0.0
204929.0,"Television, Telephony, Internet of Ukraine Ltd.",2,1,1,0.0
204645.0,Regie Municipale D'electricite De Creutzwald,2,1,1,0.0
29030.0,Telecabel Plc,2,1,1,0.0
28135.0,ASSOCIACAO NACIONAL PARA INCLUSAO DIGITAL - ANID,2,1,1,0.0
134264.0,DIGI STAR INFO SOLUTIONS PRIVATE LIMITED,2,1,1,0.0
208142.0,LLC Rocket Telecom,2,1,1,0.0
207889.0,Unetco Ltd.,2,1,1,0.0
205368.0,Fnet LLC,2,1,1,0.0
60077.0,Asre Dadeha Asiatech,2,1,1,0.0
22646.0,"Hargray Communications Group, Inc.",2,1,1,0.0
21378.0,Rostelecom,2,1,1,0.0
21351.0,Canal + Telecom SAS,2,1,1,0.0
211608.0,Totalnet LLC,2,1,1,0.0
211607.0,"Securitytrails, LLC",2,1,1,0.0
57988.0,Foton Company Ltd,2,1,1,0.0
138179.0,PACIFIC MOBILE TELECOM,2,1,1,0.0
14754.0,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",2,1,1,0.0
13296.0,INNOR Ltd.,2,1,1,0.0
210327.0,FOP Hordiiuk Petro Vasulyovuch,2,1,1,0.0
266055.0,ITANET PONTO COM LTDA,2,1,1,0.0
266003.0,VBS TECNOLOGIA LTDA,2,1,1,0.0
265867.0,Trans Ocean Network,2,1,1,0.0
267391.0,ALL KEYS COMERCIO DE EQUIPAMENTOS DE INFORMATICA L,2,1,1,0.0
267289.0,SCON FIBRAS,2,1,1,0.0
267083.0,FIX FIBRA TELECOMUNICACOES LTDA,2,1,1,0.0
267003.0,SCM EVOLUTT CONNECT LTDA,2,1,1,0.0
266771.0,MAKRONET CONSULTING TECNOLOGIA E INFORMATICA LIMITADA,2,1,1,0.0
266636.0,REDE WORKS TELECOM,2,1,1,0.0
11814.0,Distributel Communications Limited,2,1,1,0.0
266433.0,Super On Telecom,2,1,1,0.0
50577.0,Intelsc Ltd.,2,1,1,0.0
132280.0,Symphony Communication (Thailand) PCL.,2,1,1,0.0
131769.0,PT Mayatama Solusindo,2,1,1,0.0
56971.0,Cgi Global Limited,2,1,1,0.0
56503.0,PJSC Badr Rayan Jonoob,2,1,1,0.0
56354.0,It-invest Ltd,2,1,1,0.0
56048.0,China Mobile Communicaitons Corporation,2,1,1,0.0
61367.0,Too b-tel,2,1,1,0.0
60919.0,TopCom Ltd.,2,1,1,0.0
60860.0,TVCOM Ltd.,2,1,1,0.0
272757.0,INSTATEL SERVICOS ELETRONICOS LTDA,2,1,1,0.0
60754.0,Dianet Ltd.,2,1,1,0.0
57044.0,JSC ER-Telecom Holding,2,1,1,0.0
62206.0,Pitline Ltd,2,1,1,0.0
61895.0,EZEQUIEL DOS SANTOS ALVES - INTERNET,2,1,1,0.0
61863.0,TVAC TV ANTENA COMUNITARIA LTDA EPP,2,1,1,0.0
61764.0,Rio Grande Tecnologia e Comunic Multimidia Ltda,2,1,1,0.0
3249.0,Telia Eesti AS,2,1,1,0.0
272975.0,TECNO ARG COM S. R. L.,2,1,1,0.0
272954.0,VUELATECHNOLOGY S.A.S.,2,1,1,0.0
272809.0,"THUNDERNET, C.A.",2,1,1,0.0
60852.0,Computer Service LLC,2,1,1,0.0
24158.0,"Taiwan Mobile Co., Ltd.",2,1,1,0.0
27884.0,CABLECOLOR S.A.,2,1,1,0.0
27813.0,Teledifusora S.A.,2,1,1,0.0
27284.0,Fourplex Telecom LLC,2,2,1,0.0
209277.0,Apt Cable Shpk,2,1,1,0.0
208876.0,Inter-Kam Ltd.,2,1,1,0.0
21299.0,Kar-Tel LLC,2,1,1,0.0
211379.0,Neo-Telecom Plus Ltd.,2,1,1,0.0
211273.0,Cloud Software - FZCO,2,1,1,0.0
211190.0,Quicknet LLC,2,1,1,0.0
267944.0,Intercol Serv de Aux a Internet eireli Me,2,1,1,0.0
210702.0,Telecomv4 LLC,2,1,1,0.0
29194.0,MTS PJSC,2,1,1,0.0
28598.0,DB3 SERVICOS DE TELECOMUNICACOES S.A,2,1,1,0.0
28545.0,Cablemas Telecomunicaciones SA de CV,2,1,1,0.0
28300.0,Speed Servicos de Internet Ltda,2,1,1,0.0
28183.0,MICRON LINE SERVICOS DE INFORMATICA LTDA - ME,2,1,1,0.0
28952.0,"O2 Business Services, a.s",2,1,1,0.0
52312.0,TV MUSIC HOUSE JUJUY,2,1,1,0.0
52260.0,Telecommunications de Haiti (Teleco),2,1,1,0.0
52045.0,PTRC-VIZIT,2,1,1,0.0
211101.0,Nasteka Maksim Viktorovich,2,1,1,0.0
269843.0,BANTEL SAC,2,1,1,0.0
269820.0,FULL DATA COMUNICACIONES C.A.,2,1,1,0.0
271224.0,CONNECT TELECOMUNICACOES FIBRA OPTICA LTDA,2,1,1,0.0
270456.0,VARIAX SERVICOS DE INTERNET LTDA,2,1,1,0.0
270268.0,FiberPon telecom,2,1,1,0.0
20590.0,Donbass Electronic Communications Ltd.,2,1,1,0.0
19889.0,Cooperativa Telefonica Del Viso,2,1,1,0.0
17511.0,OPTAGE Inc.,2,1,1,0.0
17306.0,"JAB Wireless, INC.",2,1,1,0.0
16232.0,TIM,2,2,1,0.0
24186.0,RailTel Corporation of India Ltd,2,1,1,0.0
23520.0,"Columbus Networks USA, Inc.",2,1,1,0.0
214268.0,ORANGE LLC,2,1,1,0.0
213207.0,TechHub company for trading investment and technology,2,1,1,0.0
19182.0,TELEFONICA BRASIL S.A,2,1,1,0.0
17995.0,PT iForte Global Internet,2,2,1,0.0
27176.0,DataWagon LLC,2,1,1,0.0
26658.0,HT,2,2,1,0.0
26154.0,VOIP ME,2,1,1,0.0
25853.0,Ellijay Telephone Company,2,1,1,0.0
25820.0,IT7 Networks Inc,2,1,1,0.0
16143.0,OOO NIIR-RadioNet,2,1,1,0.0
48323.0,PP Neiron Systems,2,1,1,0.0
48293.0,Uniontel Ltd,2,1,1,0.0
48239.0,Scientific-Production Enterprise Information Technologies Ltd,2,1,1,0.0
48004.0,PE Tsibrankov Konstantin Igorevich,2,1,1,0.0
6810.0,Bezeq- THE ISRAEL TELECOMMUNICATION CORP. LTD.,2,1,1,0.0
6739.0,"Vodafone Ono, S.A.",2,1,1,0.0
45769.0,D-Vois Broadband Pvt Ltd,2,1,1,0.0
7794.0,Execulink Telecom Inc.,2,1,1,0.0
7562.0,HCN Dongjak,2,1,1,0.0
43258.0,Centr Servisnogo Oblslugovuvannya Ltd,2,1,1,0.0
263687.0,Tucuman BBS S.R.L.,2,1,1,0.0
9381.0,HKBN Enterprise Solutions HK Limited,2,1,1,0.0
273648.0,REDE GAMA TELECOM,2,1,1,0.0
272097.0,TELEVISION POR CABLE COCATEVE S.A. (GRUPO COCAVISION),2,1,1,0.0
270075.0,SUPER REDES S.A.S,2,1,1,0.0
62314.0,Atmospherica Ltd.,2,1,1,0.0
12735.0,TurkNet Iletisim Hizmetleri A.S.,2,2,1,0.0
12709.0,Melita Limited,2,1,1,0.0
12662.0,FOP Petrushenko Sergiy Petrovich,2,1,1,0.0
12334.0,"R Cable y Telecable Telecomunicaciones, S.A.U.",2,1,1,0.0
9981.0,Saero Network Service LTD,2,1,1,0.0
9416.0,Hoshin Multimedia Center Inc.,2,2,1,0.0
42682.0,JSC ER-Telecom Holding,2,1,1,0.0
42489.0,W-LINK LLC,2,1,1,0.0
141691.0,Waling Internet Pvt. Ltd.,2,1,1,0.0
39042.0,LLC Global Telecom Co,2,1,1,0.0
39001.0,MTS PJSC,2,1,1,0.0
38713.0,"Broadband ISP, FTTH and Cable Service Provider",2,1,1,0.0
38690.0,HyosungITX,2,1,1,0.0
149409.0,PT Core Digital Network,2,1,1,0.0
149116.0,National Hospital of Tropical Diseases,2,1,1,0.0
44078.0,Skyline Electronics Ltd.,2,1,1,0.0
48411.0,FOP Samoylenko Oleksandr Volodymirovich,2,1,1,0.0
43966.0,OOO IT-Region,2,1,1,0.0
43936.0,PE Zinstein Hariton Vladimirovich,2,1,1,0.0
43320.0,Pushkar Inna Mykolaivna,2,1,1,0.0
44604.0,Jsc Kvant-telekom,2,1,1,0.0
44391.0,JSC Elektrosvyaz,2,1,1,0.0
44291.0,Infomir LLC,2,1,1,0.0
139220.0,Sichuan Chuanxn IDC,2,1,1,0.0
45382.0,Hostcenter,2,2,1,0.0
41435.0,UnderNet LLC,2,1,1,0.0
140791.0,BKHOST TECHNOLOGY VIETNAM JOINT STOCK COMPANY,2,1,1,0.0
44019.0,Spetsnet LLC,2,1,1,0.0
269468.0,WINNET BRASIL LTDA,2,1,1,0.0
268817.0,Acelera Telecom,2,1,1,0.0
268525.0,MAYARA MARQUES FIGUEIREDO MANUTENCAO EIRELI,2,1,1,0.0
3226.0,OOO NI,2,1,1,0.0
268244.0,SPEEDNET CR,2,1,1,0.0
398357.0,Ethernic LLC,2,1,1,0.0
271490.0,MAGNA BATISTA DE SOUZA - ME,2,1,1,0.0
9471.0,ONATI,2,1,1,0.0
20598.0,IDDQD-AS,2,1,1,0.0
63737.0,VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED,2,1,1,0.0
9937.0,Delta Networks,2,1,1,0.0
43256.0,Global Broadband Solution Inc,2,1,1,0.0
215765.0,radio-link Smart LLC,2,1,1,0.0
215623.0,Ooo lugalink,2,1,1,0.0
215421.0,LikeNet LLC,2,1,1,0.0
215284.0,Nest LLC,2,1,1,0.0
61431.0,Telecommunication Company Kama - Link LLC.,2,1,1,0.0
52465.0,WNet Internet y Hosting,2,1,1,0.0
394684.0,GOLD DATA USA INC,2,1,1,0.0
327738.0,STE AFRICELL RDC SPRL,2,1,1,0.0
274366.0,Royal Company Infinity LTDA,2,1,1,0.0
10429.0,TELEFONICA BRASIL S.A,2,2,1,0.0
9790.0,Two Degrees Networks Limited,2,1,1,0.0
9617.0,"JCOM Co., Ltd.",2,1,1,0.0
9595.0,NTT-ME Corporation,2,1,1,0.0
9569.0,"SEOCHO CABLE SYSTEMS CO., LTD.",2,1,1,0.0
12850.0,Retelit Digital Services S.p.A.,2,1,1,0.0
12768.0,JSC ER-Telecom Holding,2,1,1,0.0
268174.0,CEARA NET FIBRA LTDA,2,1,1,0.0
268159.0,CD TELECOMUNICACOES LTDA,2,1,1,0.0
268079.0,Big comercio de equipamentos de informatica ltda,2,1,1,0.0
3243.0,Servicos De Comunicacoes E Multimedia S.A.,2,1,1,0.0
4515.0,PCCW IMS Ltd (PCCW Business Internet Access),2,1,1,0.0
57999.0,LLC DataNet ISP,2,1,1,0.0
10175.0,Kumho Cable,2,1,1,0.0
4007.0,"Subisu Cablenet (Pvt) Ltd, Baluwatar, Kathmandu, Nepal",2,1,1,0.0
3352.0,Telefonica De Espana S.a.u.,2,1,1,0.0
17577.0,LG HelloVision Corp.,2,1,1,0.0
216259.0,BLINE LLC,2,1,1,0.0
216185.0,Biletik-Onlain LTD,2,1,1,0.0
9231.0,China Mobile Hong Kong Company Limited,2,1,1,0.0
400304.0,Redoubt Networks,2,1,1,0.0
4609.0,Companhia de Telecomunicacoes de Macau SARL,2,1,1,0.0
