timestamp,src_ip,session,url,outfile,shasum,eventid
2026-09-05 21:48:42.432105+00:00,130.12.180.51,08e531557334,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-05 21:48:42.433091+00:00,130.12.180.51,08e531557334,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-06 10:32:27.256823+00:00,130.12.180.51,fb550269f714,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-06 10:32:27.257408+00:00,130.12.180.51,fb550269f714,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-07 04:30:57.122102+00:00,94.154.43.218,82fb92a7e630,http://94.154.43.200/Sakura.sh,/home/cowrie/cowrie/dl/6a7e1676d52a85906d43a543bdb35f8b3282447a5ce8c98dfad33e04afe79dc6,6a7e1676d52a85906d43a543bdb35f8b3282447a5ce8c98dfad33e04afe79dc6,cowrie.session.file_download
2026-09-07 04:30:57.485488+00:00,94.154.43.218,82fb92a7e630,http://94.154.43.200/m-i.p-s.Sakura,/home/cowrie/cowrie/dl/d75b9a8289eda8d48ff22e483f6df819d6a3e2d3fe638f6cb986d74358fe6e8e,d75b9a8289eda8d48ff22e483f6df819d6a3e2d3fe638f6cb986d74358fe6e8e,cowrie.session.file_download
2026-09-07 04:30:57.486104+00:00,94.154.43.218,82fb92a7e630,http://94.154.43.200/m-i.p-s.Sakura,,,cowrie.session.file_download.failed
2026-09-07 04:30:57.581874+00:00,94.154.43.218,82fb92a7e630,http://94.154.43.200/m-p.s-l.Sakura,/home/cowrie/cowrie/dl/e96e86dd43cbd957848d1d482a5efed9c5557e3d48cf5e67abee6f207504b3ed,e96e86dd43cbd957848d1d482a5efed9c5557e3d48cf5e67abee6f207504b3ed,cowrie.session.file_download
2026-09-07 04:30:57.626685+00:00,94.154.43.218,7991dbe8eefc,http://94.154.43.200/Sakura.sh,/home/cowrie/cowrie/dl/6a7e1676d52a85906d43a543bdb35f8b3282447a5ce8c98dfad33e04afe79dc6,6a7e1676d52a85906d43a543bdb35f8b3282447a5ce8c98dfad33e04afe79dc6,cowrie.session.file_download
2026-09-07 04:30:57.812386+00:00,94.154.43.218,82fb92a7e630,http://94.154.43.200/s-h.4-.Sakura,/home/cowrie/cowrie/dl/cd4b5390890f18df23345caa1dba8621efc1aff60f376e49e17c4fe67a181845,cd4b5390890f18df23345caa1dba8621efc1aff60f376e49e17c4fe67a181845,cowrie.session.file_download
2026-09-11 11:15:25.431594+00:00,130.12.180.51,941309c914db,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-11 11:15:25.432844+00:00,130.12.180.51,941309c914db,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-12 18:44:40.776777+00:00,130.12.180.51,616e5f56bd2e,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-12 18:44:40.777653+00:00,130.12.180.51,616e5f56bd2e,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-13 03:02:38.260107+00:00,130.12.180.51,4c8eae1d7d75,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-13 03:02:38.260650+00:00,130.12.180.51,4c8eae1d7d75,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-13 07:55:52.510619+00:00,130.12.180.51,8d53d2db50bf,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-13 07:55:52.511231+00:00,130.12.180.51,8d53d2db50bf,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-13 09:23:32.828850+00:00,130.12.180.51,3ddf9e3c92cd,,/home/cowrie/cowrie/dl/ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,ae8d459595257f2f22c9d1ff74c4fb8a91643fad7899b57556496716692b904e,cowrie.session.file_download
2026-09-13 09:23:32.829489+00:00,130.12.180.51,3ddf9e3c92cd,,/home/cowrie/cowrie/dl/0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,0db4656687a425c47d19000db866db52c7e415dbfaf6b5c651adcb9275ab23ca,cowrie.session.file_download
2026-09-13 21:17:41.067829+00:00,160.119.66.206,a4909a5b71c8,http://160.119.66.206/bins/kla.sh,/home/cowrie/cowrie/dl/39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,39be6853a8204ce6455a373a6ffb4cb4672d4a62d90be69f7d6eeb66cda10b96,cowrie.session.file_download
