signature,count,unique_src,sig_id,severity,category
SURICATA HTTP URI terminated by non-compliant character,11,10,2221029,3,Generic Protocol Command Decode
GPL ATTACK_RESPONSE id check returned root,11,1,2100498,2,Potentially Bad Traffic
SURICATA STREAM suspected RST injection,10,1,2210058,3,Generic Protocol Command Decode
SURICATA STREAM 3way handshake excessive different SYNs,9,2,2210063,3,Generic Protocol Command Decode
SURICATA STREAM FIN2 invalid ack,9,3,2210036,3,Generic Protocol Command Decode
SURICATA STREAM TIMEWAIT ACK with wrong seq,9,6,2210042,3,Generic Protocol Command Decode
SURICATA STREAM FIN2 FIN with wrong seq,8,3,2210035,3,Generic Protocol Command Decode
SURICATA QUIC error on data,8,8,2231001,3,Generic Protocol Command Decode
SURICATA HTTP Host header ambiguous,8,3,2221015,3,Generic Protocol Command Decode
SURICATA MQTT PUBLISH not seen before PUBACK/PUBREL/PUBREC/PUBCOMP,6,1,2229001,3,Generic Protocol Command Decode
SURICATA MQTT message seen before CONNECT/CONNACK completion,6,2,2229005,3,Generic Protocol Command Decode
ET SCAN RDP Connection Attempt from Nmap,6,4,2036252,3,Detection of a Network Scan
SURICATA MQTT duplicate CONNECT,6,2,2229004,3,Generic Protocol Command Decode
SURICATA HTTP Host header invalid,5,2,2221028,3,Generic Protocol Command Decode
ET EXPLOIT Linksys E-Series Device RCE Attempt Outbound,4,3,2027153,1,Attempted Administrator Privilege Gain
SURICATA HTTP request header invalid,4,4,2221013,3,Generic Protocol Command Decode
ET SCAN JAWS Webserver Unauthenticated Shell Command Execution,3,3,2030093,1,Web Application Attack
ET SCAN Potential SSH Scan OUTBOUND,2,1,2003068,2,Attempted Information Leak
ET EXPLOIT F5 TMUI RCE vulnerability CVE-2020-5902 Attempt M1,2,1,2030469,1,Attempted Administrator Privilege Gain
SURICATA STREAM ESTABLISHED SYNACK to server,2,1,2210025,3,Generic Protocol Command Decode
ET CHAT IRC USER command,1,1,2002023,3,Misc activity
GPL ICMP Destination Unreachable Port Unreachable,1,1,2100402,3,Misc activity
SURICATA Applayer Protocol detection skipped,1,1,2260003,3,Generic Protocol Command Decode
ET SCADA IEC-104 STOPDT (Stop Data Transfer) Confirmation,1,1,2046163,3,Generic Protocol Command Decode
ET CHAT IRC NICK command,1,1,2002024,3,Misc activity
SURICATA MQTT unassigned message type (0 or >15),1,1,2229008,3,Generic Protocol Command Decode
SURICATA MQTT invalid QOS level,1,1,2229006,3,Generic Protocol Command Decode
SURICATA MQTT CONNECT not seen before CONNACK,1,1,2229000,3,Generic Protocol Command Decode
SURICATA STREAM ESTABLISHED SYNACK resend with different seq,1,1,2210024,3,Generic Protocol Command Decode
